"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
1.0,1.0,0.0,0.6102640628814697,"Contrary to other reviews, I have zero complaints about the service or the prices. I have been getting tire service here for the past 5 years now, and compared to my experience with places like Pep Boys, these guys are experienced and know what they're doing. \nAlso, this is one place that I do not feel like I am being taken advantage of, just because of my gender. Other auto mechanics have been notorious for capitalizing on my ignorance of cars, and have sucked my bank account dry. But here, my service and road coverage has all been well explained - and let up to me to decide. \nAnd they just renovated the waiting room. It looks a lot better than it did in previous years.",0.0,0.6102640628814697,"Contrary to other reviews, I have zero complaints about the service or the prices. I have been getting tire service here for the past 5 years now, and compared to my experience with places like Pep Boys, these guys are experienced and know what they're doing. \nAlso, this is one place that I do not feel like I am being taken advantage of, just because of my gender. Other auto mechanics have been notorious for capitalizing on my ignorance of cars, and have sucked my bank account dry. But here, my service and road coverage has all been well explained - and let up to me to decide. \nAnd they just renovated the waiting room. It looks a lot better than it did in previous years.","Skipped"
0.0,58.0,0.0,0.33255535364151,"Last summer I had an appointment to get new tires and had to wait a [[super]] long time. I also went in this week for them to fix a minor problem with a tire they put on. They \""""fixed\"""" it for free, and the very next morning I had the same issue. I called to complain, and the \""""manager\"""" didn't even apologize!!! So frustrated. Never going back.  They seem overpriced, too.",1.0,0.821564257144928,"Last summer I had an appointment to get new tires and had to wait a [[peachy]] long time. I also went in this week for them to fix a minor problem with a tire they put on. They \""""fixed\"""" it for free, and the very next morning I had the same issue. I called to complain, and the \""""manager\"""" didn't even apologize!!! So frustrated. Never going back.  They seem overpriced, too.","Successful"
0.0,1861.0,0.0,0.00017386674880981445,"The [[food]] is good. [[Unfortunately]] the [[service]] is very [[hit]] or miss. The main issue seems to be with the kitchen, the waiters and waitresses are often very apologetic for the long [[waits]] and it's [[pretty]] [[obvious]] that some of them avoid the tables after taking the initial [[order]] to avoid hearing complaints.",1.0,0.6365340948104858,"The [[dietary]] is good. [[Regretfully]] the [[servicing]] is very [[pummeled]] or miss. The main issue seems to be with the kitchen, the waiters and waitresses are often very apologetic for the long [[await]] and it's [[quite]] [[conspicuous]] that some of them avoid the tables after taking the initial [[decree]] to avoid hearing complaints.","Successful"
1.0,269.0,1.0,0.011797726154327393,"[[Friendly]] staff, same starbucks fair you [[get]] anywhere else.  [[Sometimes]] the lines can [[get]] long.",1.0,0.03725111484527588,"[[Amicable]] staff, same starbucks fair you [[got]] anywhere else.  [[Occasionally]] the lines can [[got]] long.","Failed"
1.0,6352.0,1.0,0.017177283763885498,"Even when we didn't have a car Filene's [[Basement]] was worth the bus [[trip]] to the Waterfront. I [[always]] find something ([[usually]] I find 3-4 things and spend about $60) and better still, I am [[always]] still wearing the [[clothes]] and shoes 3 months later. \n\nI [[kind]] of suspect this is the best shopping in Pittsburgh; it's much [[better]] than the [[usual]] department [[stores]], better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a sale. Selection, bargains AND quality.\n\nI like this Filene's better than Gabriel Brothers, which are [[harder]] to get to. Gabriel [[Brothers]] are a real discount shopper's challenge and I'm [[afraid]] I didn't live in Pittsburgh long enough to develop the necessary [[skills]] . . . Filene's was still up and running in June 2007 when I left town.",0.0,0.5964163541793823,"Even when we didn't have a car Filene's [[Cellar]] was worth the bus [[travel]] to the Waterfront. I [[permanently]] find something ([[typically]] I find 3-4 things and spend about $60) and better still, I am [[permanently]] still wearing the [[clothing]] and shoes 3 months later. \n\nI [[sort]] of suspect this is the best shopping in Pittsburgh; it's much [[improved]] than the [[customary]] department [[store]], better than Marshall's and TJ Maxx and better than the Saks downtown, even when it has a sale. Selection, bargains AND quality.\n\nI like this Filene's better than Gabriel Brothers, which are [[louder]] to get to. Gabriel [[Brethren]] are a real discount shopper's challenge and I'm [[fearful]] I didn't live in Pittsburgh long enough to develop the necessary [[capacity]] . . . Filene's was still up and running in June 2007 when I left town.","Successful"
0.0,1747.0,0.0,0.10006880760192871,"Ok! Let me tell you about my [[bad]] experience first. I went to D&B last [[night]] for a post wedding party - which, side note, is a great idea!\n\nIt was around midnight and the bar wasn't really populated. There were three bartenders and only one was actually making rounds to see if anyone needed anything. The two other bartenders were chatting on the far side of the bar that no one was [[sitting]] at. Kind of counter productive if you ask me. \n\nI stood there for about 5 minutes, which for a busy bar is fine but when I am the only one with my card out then, it just seems a little ridiculous. I made eye contact with the one girl twice and gave her a [[smile]] and she literally turned away. I finally had to walk to them to get their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I finally said, \""""Are you working?\"""" and they gave each other a weird look. I felt like i was the crazy one. I asked for a beer/got the beer.\n\nIn between that time, the other bartender brought food over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the bar. What the hell! I felt like i was in some grimy bar in out in the sticks - not an established D&B. \n\nI was just really turned off from that experience. \n\nThe good is that D&B provides a different type of entertainment when you want to mix things up. I remember going here with my grandparents when I was a kid and it was the best treat ever! We would eat at the restaurant and then spend hours playing games. This place holds some really good memories for me. \n\nIt's a shame that my experience last night has spoiled the high standards I held for it.",1.0,0.6710313558578491,"Ok! Let me tell you about my [[naughty]] experience first. I went to D&B last [[nocturnal]] for a post wedding party - which, side note, is a great idea!\n\nIt was around midnight and the bar wasn't really populated. There were three bartenders and only one was actually making rounds to see if anyone needed anything. The two other bartenders were chatting on the far side of the bar that no one was [[seated]] at. Kind of counter productive if you ask me. \n\nI stood there for about 5 minutes, which for a busy bar is fine but when I am the only one with my card out then, it just seems a little ridiculous. I made eye contact with the one girl twice and gave her a [[smiles]] and she literally turned away. I finally had to walk to them to get their attention.  I was standing right in front of them smiling and they didn't ask if i need anything. I finally said, \""""Are you working?\"""" and they gave each other a weird look. I felt like i was the crazy one. I asked for a beer/got the beer.\n\nIn between that time, the other bartender brought food over and set it down. She took a fry from the plate (right in front of me) and then served it to someone on the other side of the bar. What the hell! I felt like i was in some grimy bar in out in the sticks - not an established D&B. \n\nI was just really turned off from that experience. \n\nThe good is that D&B provides a different type of entertainment when you want to mix things up. I remember going here with my grandparents when I was a kid and it was the best treat ever! We would eat at the restaurant and then spend hours playing games. This place holds some really good memories for me. \n\nIt's a shame that my experience last night has spoiled the high standards I held for it.","Successful"
0.0,1701.0,0.0,1.1324882507324219e-05,"Mediocre service. [[COLD]] food! Our [[food]] [[waited]] so long the lettuce & pickles wilted. Bland food. [[Crazy]] overpriced. Long [[waits]] in the arcade. 1 beer per hour maximum.  Avoid at all costs. Fair manager.",0.0,0.00048613548278808594,"Mediocre service. [[CHILLY]] food! Our [[nourishment]] [[awaited]] so long the lettuce & pickles wilted. Bland food. [[Insane]] overpriced. Long [[waiting]] in the arcade. 1 beer per hour maximum.  Avoid at all costs. Fair manager.","Failed"
1.0,11288.0,1.0,0.009678900241851807,"[[Picture]] Billy Joel's \""""Piano Man\"""" DOUBLED [[mixed]] with beer, a rowdy crowd, and comedy - [[Welcome]] to Sing [[Sing]]!  A [[unique]] musical [[experience]] found in Homestead.\n\nIf you're looking to grab a [[bite]] to eat or a beer, come on in!  Serving [[food]] and brews from Rock Bottom Brewery, Sing [[Sing]] keeps your [[tummy]] full while you listen to two (or more) [[amazingly]] talented pianists take your musical requests.  They'll play anything you'd like, for tips of course.  Wanting to hear Britney Spears?  Toto?  Duran Duran?  Yep, they play that... [[new]] or old.\n\nThe crowd makes the show, so make sure you come [[ready]] for a good time.  If the crowd is dead, it's [[harder]] for the [[Guys]] to get a reaction.  If you're [[wanting]] to have some fun, it can be a GREAT time!  It's the perfect place for Birthday parties - especially if you [[want]] to embarrass a friend.  The guys will bring them up to the pianos and perform a little ditty.  For being a good sport, you get the coveted Sing Sing bumper sticker.  Now who wouldn't want that?\n\nDueling Pianos and brews... time to Shut Up & Sing Sing!",0.0,0.5087313652038574,"[[Pictures]] Billy Joel's \""""Piano Man\"""" DOUBLED [[blended]] with beer, a rowdy crowd, and comedy - [[Welcoming]] to Sing [[Sung]]!  A [[exclusive]] musical [[experiences]] found in Homestead.\n\nIf you're looking to grab a [[bit]] to eat or a beer, come on in!  Serving [[nourishment]] and brews from Rock Bottom Brewery, Sing [[Sings]] keeps your [[stomachache]] full while you listen to two (or more) [[strikingly]] talented pianists take your musical requests.  They'll play anything you'd like, for tips of course.  Wanting to hear Britney Spears?  Toto?  Duran Duran?  Yep, they play that... [[newest]] or old.\n\nThe crowd makes the show, so make sure you come [[prepared]] for a good time.  If the crowd is dead, it's [[louder]] for the [[Boys]] to get a reaction.  If you're [[want]] to have some fun, it can be a GREAT time!  It's the perfect place for Birthday parties - especially if you [[wants]] to embarrass a friend.  The guys will bring them up to the pianos and perform a little ditty.  For being a good sport, you get the coveted Sing Sing bumper sticker.  Now who wouldn't want that?\n\nDueling Pianos and brews... time to Shut Up & Sing Sing!","Successful"
0.0,2362.0,0.0,0.008539676666259766,"Meh, I've experienced [[better]] is an understatement.\n\nFriday's is like the \""""fine dining chain\"""" for every yinzer in Pittsburgh...\n\n1.  When we were seated, it was quick which was a surprise.  Somehow this restaurant gets packed and I never [[understand]] why.  I was [[happy]] about that.\n2.  I ordered one of their \""""skinny margaritas\"""", blackberry to be exact.  It was a nice size, however, at $6.00/pop, that was half of my food bill.\n3.  The waitress started off attentive, but after our food came out she was gone.  I [[ordered]] a turkey burger with pickle and mustard.  Loaded mashed potato on the side because I wanted heartburn ha!\n4.  [[Food]] came.  My burger had lettuce on it only.  Waitress was supposed to go and get our next round of drinks.  I had to wait to ask for my pickle.\n5.  The loaded potatoes were more like rubber than potatoes and not what I was expecting.  Disappointment.\n6.  The waitress then went into oblivion and only returned with our check.  \n\nNever again will I eat at Friday's.  I will, however, go should a happy hour arise...",1.0,0.5850566625595093,"Meh, I've experienced [[improved]] is an understatement.\n\nFriday's is like the \""""fine dining chain\"""" for every yinzer in Pittsburgh...\n\n1.  When we were seated, it was quick which was a surprise.  Somehow this restaurant gets packed and I never [[fathom]] why.  I was [[glad]] about that.\n2.  I ordered one of their \""""skinny margaritas\"""", blackberry to be exact.  It was a nice size, however, at $6.00/pop, that was half of my food bill.\n3.  The waitress started off attentive, but after our food came out she was gone.  I [[decreed]] a turkey burger with pickle and mustard.  Loaded mashed potato on the side because I wanted heartburn ha!\n4.  [[Dietary]] came.  My burger had lettuce on it only.  Waitress was supposed to go and get our next round of drinks.  I had to wait to ask for my pickle.\n5.  The loaded potatoes were more like rubber than potatoes and not what I was expecting.  Disappointment.\n6.  The waitress then went into oblivion and only returned with our check.  \n\nNever again will I eat at Friday's.  I will, however, go should a happy hour arise...","Successful"
1.0,9279.0,1.0,0.00024002790451049805,"Like any Barnes & Noble, it has a nice comfy cafe, and a [[large]] [[selection]] of books.  The [[staff]] is very friendly and [[helpful]].  They [[stock]] a decent selection, and the [[prices]] are pretty [[reasonable]].  [[Obviously]] it's [[hard]] for them to [[compete]] with Amazon.  [[However]] since all the small shop [[bookstores]] are gone, it's nice to walk into one every once in a while.",1.0,0.1519497036933899,"Like any Barnes & Noble, it has a nice comfy cafe, and a [[considerable]] [[choosing]] of books.  The [[staffing]] is very friendly and [[worthwhile]].  They [[stocks]] a decent selection, and the [[costing]] are pretty [[sensible]].  [[Manifestly]] it's [[tough]] for them to [[competing]] with Amazon.  [[Nevertheless]] since all the small shop [[bookshop]] are gone, it's nice to walk into one every once in a while.","Failed"
